SKU,PN
SMB_APPS_MICROSOFTBOOKINGS,Microsoft Business Apps - Microsoft Bookings
SMB_BUSINESS_PREMIUM_TEAMS1,M365 Business Standard - Microsoft Teams
SKU_Dynamics_365_for_HCM_Trial,Dynamics 365 for Talents
Flow_Per_APP_IWTRIAL,Flow per app baseline access
ENTERPRISEPREMIUM_NOPSTNCONF_DESKLESS,O365 E5 Without Audio Conferencing - Microsoft StaffHub
POWER_APPS_DYN365_VIRAL_TRIAL,Power Apps for Dynamics 365 vTrial
PROJECTONLINE_PLAN_1_SWAY,Project Online Premium Without Project Client - Sway
WIN_DEF_ATP,Microsoft Defender for Endpoint P2
RIGHTSMANAGEMENT_STANDARD_FACULTY,Azure Rights Management for faculty
RIGHTSMANAGEMENT_RMS_S_PREMIUM,Azure Information Protection Plan 1 - Azure Information Protection Premium P1
AAD_PREMIUM_P2,Azure Active Directory Premium P2
ENTERPRISEPREMIUM_DESKLESS,O365 E5 - Microsoft StaffHub
PARATURE_ENTERPRISE_GOV,Parature Enterprise for Government
Dynamics_365_Onboarding_SKU,Dynamics 365 for Talent: Onboard
POWERAPPS_GUIDES,Power Apps for Guides
WACONEDRIVESTANDARD,Onedrive for Business (Plan 1)
EXCHANGE_S_ESSENTIALS,Exchange Online Essentials
SMB_BUSINESS_ESSENTIALS_EXCHANGE_S_STANDARD,M365 Business Basic - Exchange Online (P2)
CDSAICAPACITY,AI Builder Capacity add-on
PROJECT_CLIENT_SUBSCRIPTION,Project Online Desktop Client
ENTERPRISEWITHSCAL_YAMMER_ENTERPRISE,O365 E4 - Yammer Enterprise
INTUNE_A_VL,Microsoft Intune VL
TEAMS_EXPLORATORY,Microsoft Teams Exploratory
VIRTUAL_AGENT_BASE,Power Virtual Agent
FLOW_FREE_FLOW_P2_VIRAL,Power Automate - Flow Free
STANDARDWOFFPACK_PROJECTWORKMANAGEMENT,O365 E2 - Microsoft Planner
SHAREPOINTWAC,Office for the web
DYN365_ENTERPRISE_PLAN1_POWERAPPS_DYN_P2,D365 Customer Engagement Plan Ent Edition - Powerapps for Dynamics 365
MCOVOICECONF_STUDENT,Skype for Business Online Plan 3 for Students
STREAM_O365_K_GOV,Microsoft Stream for Office 365 for Government (F1)
MCOMEETADV_MCOMEETADV,Microsoft 365 Audio Conferencing
FLOW_DYN_APPS,Power Automate for Dynamics 365
GUIDES,Dynamics 365 Guides
MCOIMP_FACULTY,Skype for Business Online (Plan 1) for Faculty
SMB_BUSINESS_ESSENTIALS_SWAY,M365 Business Basic - Sway
CPC_B_4C_16RAM_128GB,"Windows 365 Business 4 vCPU, 16 GB, 128 GB"
ONEDRIVESTANDARD,Onedrivestandard
POWERAPPS_PER_USER_GCC,Power Apps per user Plan for Government
IT_ACADEMY_AD_IT_ACADEMY_AD,Ms Imagine Academy
MCVOICECONF,Skype for Business Online P3
SMB_BUSINESS_ESSENTIALS_SHAREPOINTSTANDARD,M365 Business Basic - SharePoint (P1)
DYN365_ENTERPRISE_PLAN1_FLOW_DYN_P2,D365 Customer Engagement Plan Ent Edition - Flow for Dynamics 365
SPE_F1_YAMMER_ENTERPRISE,M365 F1 - Yammer Enterprise
CDS_UNATTENDED_RPA,Common Data Service Unattended RPA
ENTERPRISEWITHSCAL_PROJECTWORKMANAGEMENT,O365 E4 - Microsoft Planner
TEAMS_AR_GCCHIGH,Microsoft Teams for GCC High (AR)
ENTERPRISEPREMIUM_NOPSTNCONF_STREAM_O365_E5,O365 E5 Without Audio Conferencing - Stream for Office 365
CRM_HYBRIDCONNECTOR,CRM Hybrid Connector
MICROSOFT_COMMUNICATION_COMPLIANCE,Microsoft 365 Communication Compliance
DEVELOPERPACK_FORMS_PLAN_E5,O365 E3 Developer - Microsft Forms (Plan E5)
O365_BUSINESS_ESSENTIALS_TEAMS1,M365 Business Basic - Microsoft Teams
ENTERPRISEPREMIUM_NOPSTNCONF_YAMMER_ENTERPRISE,O365 E5 Without Audio Conferencing - Yammer Enterprise
EMS_MFA_PREMIUM,Ent Mobility + Security E3 - Azure Multi-Factor Authentication
MEETING_ROOM_INTUNE_A,Meeting Room - Microsoft Intune
DYN365_ENTERPRISE_TEAM_MEMBERS_DYN365_ENTERPRISE_TALENT_ATTRACT_TEAMMEMBER,D365 for Team Members Ent Edition - D365 for Talent - Attract Experience Team Member
WHITEBOARD_PLAN2,Whiteboard (Plan 2)
M365_E5_SUITE_COMPONENTS,Microsoft 365 E5 Suite features
SPE_F1_FORMS_PLAN_K,M365 F1 - Microsoft Forms (Plan F1)
STANDARDWOFFPACK_DESKLESS,O365 E2 - Microsoft StaffHub
SPE_E5,Microsoft 365 E5
AAD_PREMIUM_P2_AAD_PREMIUM,Azure AD Premium P2 - Azure AD Premium P1
EXCHANGETELCO,Exchange Online Pop
YAMMER_EDU,Yammer for Academic
STREAM_MICROSOFT STREAM,Microsoft Stream Trial
O365_BUSINESS_PREMIUM_DESKLESS,M365 Business Standard - Microsoft StaffHub
EXCHANGEDESKLESS_GOV,Exchange Kiosk for Government
VIVA_LEARNING_SEEDED,Viva Learning Seeded
DEVELOPERPACK_SHAREPOINTWAC_DEVELOPER,O365 E3 Developer - Office for web
EDUPACK_FACULTY,Office 365 Education E3 for Faculty
ENTERPRISEPACK,Office 365 E3
ENTERPRISEPACK_STUDENT,Office 365 Education E3 for Students
SPE_F1_RMS_S_PREMIUM,M365 F1 - Azure Information Protection P1
Customer_Voice_Base,Dynamics 365 Customer Voice Base Plan
FORMS_PLAN_E5,Microsoft Forms (Plan E5)
M365EDU_A3_STUDENT,Microsoft 365 A3 for Students
MCOIMP_STUDENT,Skype for Business Online (Plan 1) for Students
UNIVERSAL_PRINT_EDU_M365,Universal Print for Education Trial
STANDARDPACK_SHAREPOINTSTANDARD,O365 E1 - SharePoint (P1)
MCOPSTNEAU2,TELSTRA Calling for O365
OFFICE_SHARED_COMPUTER_ACTIVATION,Office Shared Computer Activation
SCHOOL_DATA_SYNC_P1,School Data Sync (Plan 1)
Forms_Pro_USL,Dynamics 365 Customer Voice USL
YAMMER_ENTERPRISE_STANDALONE,Yammer Enterprise Standalone
WACSHAREPOINTSTD_GOV,Office Web Apps (Plan 1G for Government)
STANDARDPACK_FLOW_O365_P1,O365 E1 - Flow for Office 365
PROJECTONLINE_PLAN_5_SHAREPOINTENTERPRISE,Project Online With Project for O365 - SharePoint (P2)
DYN365_ENTERPRISE_SALES,Dynamics 365 for Sales Enterprise Edition
DYN365_ENTERPRISE_SALES_SHAREPOINTENTERPRISE,D365 for Sales Enterprise Edition - SharePoint (P2)
RMS_S_BASIC,Microsoft Azure Rights Management Service
FLOW_O365_P2_GOV,Power Automate for Office 365 P2 for Government
SHAREPOINTSTANDARD_SHAREPOINTSTANDARD,Sharepoint Online (Plan 1)
PROJECTESSENTIALS_PROJECT_ESSENTIALS,Project Online Essentials - Project Online Essential
ENTERPRISEWITHSCAL_FORMS_PLAN_E3,O365 E4 - Microsft Forms (Plan E3)
RMS_S_PREMIUM2_GOV,Azure Information Protection Premium P2 for GCC
STREAM_O365_E5_GOV,Stream for Office 365 for Government (E5)
Forms_Pro_CE,Microsoft Dynamics 365 Customer Voice for Customer Engagement Plan
POWER_AUTOMATE_UNATTENDED_RPA,Power Automate Unattended RPA add-on
CDS_REMOTE_ASSIST,Common Data Service for Remote Assist
EOP_ENTERPRISE_GOV,Exchange Protection for Government
DYN365_FINANCIALS_ACCOUNTANT,Dynamics 365 Business Central External Accountant
EMSPREMIUM_INTUNE_A,Ent Mobility + Security E5 - Microsoft Intune
ENTERPRISEPREMIUM_EXCHANGE_S_ENTERPRISE,O365 E5 - Exchange Online (P2)
DESKLESSPACK_FLOW_O365_S1,O365 F1 - Flow for Office 365 K1
INSIDER_RISK_MANAGEMENT,Microsoft Insider Risk Management
FLOW_O365_S1,Power Automate for Office 365 365 F3
RMS_S_ENTERPRISE,Microsoft Azure Active Directory Rights
POWERAPPS_VIRAL_FLOW_P2_VIRAL,Power Apps Plan 2 Trial - Flow Free
OFFICE_BASIC,Office 365 Basic
ENTERPRISEPACK_POWERAPPS_O365_P2,O365 E3 - PowerApps for Office 365
DYNAMICS_365_ONBOARDING_SKU_DYNAMICS_365_ONBOARDING_FREE_PLAN,Dynamics 365 for Talent: Onboard
FORMS_PRO_FORMS_PLAN_E5,Forms Pro Trial - Microsoft Forms (Plan E5)
Dynamics_365_for_Operations_Sandbox_Tier1_SKU_Plan2,Dyn 365 Ent Ed. ? Sandbox Tier 1:Dev & Test
TEAMS_ADVCOMMS,Microsoft 365 Advanced Communications
O365_BUSINESS_ESSENTIALS_FORMS_PLAN_E1,M365 Business Basic - Microsft Forms (Plan E1)
INTUNE_O365,Mobile Device Management for Office 365
POWERAPPS_VIRAL_DYN365_CDS_VIRAL,Power Apps Plan 2 Trial - Common Data Service
ENTERPRISEPREMIUM_NOPSTNCONF_POWERAPPS_O365_P3,O365 E5 Without Audio Conferencing - PowerApps for Office 365
DYN365_FINANCIALS_TEAM_MEMBERS_SKU,Dynamics 365 for Team Members Business Edition
MIDSIZEPACK_MCOSTANDARD_MIDMARKET,O365 Midsize Business - Skype for Business Online (P2)
PROJECTPREMIUM_SHAREPOINTWAC,Project Online Premium - Office for web
POWERAPPS_O365_S1_GOV,Power Apps for Office 365 F3 for Government
PROJECTESSENTIALS_SHAREPOINTENTERPRISE,Project Online Essentials - SharePoint (P2)
O365_BUSINESS_PREMIUM,Microsoft 365 Business Standard
ONEDRIVEENTERPRISE,Onedriveenterprise
MCOVOICECONF_FACULTY,Skype for Business Online Plan 3 for Faculty
SPB,Microsoft 365 Business Premium
PROJECTPROFESSIONAL_SHAREPOINTENTERPRISE,Project Online Professional - SharePoint (P2)
POWERAUTOMATE_DESKTOP_FOR_WIN,Power Automate Desktop for Windows
PROJECT_MADEIRA_PREVIEW_IW_SKU_PROJECT_MADEIRA_PREVIEW_IW,Microsoft Dynamics 365 Business Preview Iw (deprecated)
TEAMS_GOV,Microsoft Teams for Government
SPE_F1_KAIZALA_O365_P1,M365 F1 - Microsoft Kaizala
SOCIAL_ENGAGEMENT_APP_USER,Dynamics 365 AI for Market Insights (Preview)
CRMIUR,CRM for Partners
PROJECTONLINE_PLAN_2_FACULTY,Project Online for Faculty Plan 2
SHAREPOINTENTERPRISE_FACULTY,SharePoint (Plan 2 for Faculty)
M365_ADVANCED_AUDITING,Microsoft 365 Advanced Auditing
DYN365_CDS_O365_F1_GCC,Common Data Service - O365 F1 GCC
OFFICEMOBILE_SUBSCRIPTION,Office Mobile Apps for Office 365
STANDARDWOFFPACK_EXCHANGE_S_STANDARD,O365 E2 - Exchange Online (P2)
EXCHANGEDESKLESS ,Exchange Online Kiosk
MCOEV_FACULTY,Microsoft Teams Phone Standard for Faculty
SHAREPOINTENTERPRISE,Sharepoint Online (Plan 2)
PROJECTONLINE_PLAN_7_SWAY,Project Online With Project for O365 - Sway
DEVELOPERPACK_GOV,Office 365 Developer for Government
FORMS_PRO_FORMS_PRO,Forms Pro Trial
FLOW_PER_USER_GCC,Power Automate per user plan for Government
ERP_TRIAL_INSTANCE,Dynamics 365 Operations Trial Environment
SHAREPOINTSTANDARD_STUDENT,SharePoint (Plan 1 for Students)
INTUNE_A,Microsoft Intune
ENTERPRISEPACK_SWAY,O365 E3 - Sway
FLOW_P2_DYN365_CDS_P2, Microsoft Flow Plan 2 - Common Data Service
MIDSIZEPACK,Office 365 Midsize Business
ENTERPRISEWITHSCAL_SHAREPOINTWAC,O365 E4 - Office for web
MYANALYTICS_P2_GOV,Insights By Myanalytics for Government
ENTERPRISEPREMIUM_RMS_S_ENTERPRISE,O365 E5 - Azure Rights Management
POWERAPPS_INDIVIDUAL_USER,Power Apps and Logic Flows
MTP,Microsoft 365 Defender
BI_AZURE_P0,Power BI (free)
M365EDU_A3_FACULTY,Microsoft 365 A3 for Faculty
DYN365BC_MS_INVOICING,Microsoft Invoicing
POWERAPPS_O365_P2,Power Apps for Office 365 P2
POWERAPPS_INDIVIDUAL_USER_POWERFLOWSFREE,Power Apps and Logic Flows - Logic Flows
DYN365_Enterprise_Talent_Onboard_TeamMember,Dynamics 365 for Talent - Onboard Experience
O365_BUSINESS_PREMIUM_MCOSTANDARD,M365 Business Standard - Skype for Business Online (P2)
STANDARDPACK_OFFICEMOBILE_SUBSCRIPTION,O365 E1 - Office Mobile Apps for Office 365
DYN365_ENTERPRISE_TEAM_MEMBERS_DYN365_ENTERPRISE_TEAM_MEMBERS,Dynamics 365 for Team Members Enterprise Edition
STANDARDPACK_STREAM_O365_E1,O365 E1 - Microsoft Stream for O365 E1 SKU
ENTERPRISEPACK_RMS_S_ENTERPRISE,O365 E3 - Azure Rights Management
EXCHANGEARCHIVE_EXCHANGE_S_ARCHIVE,Exchange Online Archiving for Exchange Server
ENTERPRISEWITHSCAL_RMS_S_ENTERPRISE,O365 E4 - Azure Rights Management
EXCHANGEARCHIVE_ADDON,Exchange Online Archiving for Exchange Online
DATAVERSE_POWERAPPS_PER_APP_NEW,Dataverse for Power Apps per app
RMS_S_ADHOC,Rights Management Adhoc
ENTERPRISEPREMIUM_NOPSTNCONF_SWAY,O365 E5 Without Audio Conferencing - Sway
EQUIVIO_ANALYTICS_FACULTY,Office 365 Advanced Compliance for Faculty
FLOW_FORMS_PRO,Power Automate for Dynamics 365 Customer Voice
ADALLOM_S_DISCOVERY,Cloud App Security Discovery
EXCHANGE_S_DESKLESS_GOV,Exchange Online Kiosk for Government
ADALLOM_S_STANDALONE,Microsoft Cloud App Security
ENTERPRISEPREMIUM_MICROSOFTBOOKINGS,O365 E5 - Microsoft Bookings
SHAREPOINTENTERPRISE_YAMMER,SharePoint (Plan 2 with Yammer)
Dynamics_365_for_Operations_Sandbox_Tier4,"Dynamics 365 for Operations, Enterprise Edition - Sandbox Tier 4:Standard Performance Testing"
SMB_BUSINESS_SHAREPOINTWAC,M365 Apps for Business - Office for web
CPC_E_2C_4GB_64GB,"Windows 365 Enterprise 2 vCPU, 4 GB, 64 GB"
CRMSTANDARD,Microsoft Dynamics CRM Online
FLOW_O365_P1_GOV,Power Automate for Office 365 P1 for Government
DYN365_ENTERPRISE_P1_IW,Dynamics 365 P1 Trial for Information Workers
CDS_POWERAPPS_PORTALS_PAGEVIEW_GCC,CDS PowerApps Portals page view capacity add-on for GCC
EMS,Enterprise Mobility + Security E3
CDS_O365_P2_GCC,Common Data Service for Teams_P2 GCC
DYN365_CDS_P1_GOV,Common Data Service for Government
INTUNE_A_INTUNE_A,Microsoft Intune
SHAREPOINTWAC_DEVELOPER,Office for the Web for Developer
STREAM_P2,Microsoft Stream Plan 2
Microsoft Defender for Cloud Apps for DOD,Microsoft Defender for Cloud Apps for DOD
DYN365_CDS_VIRAL,Common Data Service - Viral
TEAMS_COMMERCIAL_TRIAL_SHAREPOINTWAC,Microsoft Teams Commercial Cloud - Office for the web
STREAM_O365_SMB,Stream for Office 365
ENTERPRISEPREMIUM_TEAMS1,O365 E5 - Microsoft Teams
CUSTOMER_VOICE_DYN365_VIRAL_TRIAL,Customer Voice for Dynamics 365 vTrial
POWER_VIRTUAL_AGENTS_O365_F1,Power Virtual Agents for Office 365
MCOEV_TELSTRA,Microsoft Teams Phone Standard for TELSTRA
EXCEL_PREMIUM,Microsoft Excel Advanced Analytics
POWER_BI_STANDALONE_FACULTY,Power BI for Office 365 for Faculty
EXPERTS_ON_DEMAND,Microsoft Threat Experts - Experts on Demand
DYN365_HUMAN_RESOURCES,Dynamics 365 Human Resources
ENTERPRISEWITHSCAL_OFFICESUBSCRIPTION,O365 E4 - Office 365 ProPlus
D365_Finance,Microsoft Dynamics 365 for Finance
M365_F1_SHAREPOINTDESKLESS,M365 F1 - Sharepoint Online Kiosk
BPOS_S_TODO_2,To-do (Plan 2)
STANDARDWOFFPACK_STREAM_O365_E1,O365 E2 - Stream for Office 365
SPZA,App Connect
EXCHANGEENTERPRISE_GOV,Exchange Online Plan 2 for Government
INTUNE_SMBIZ,Microsoft Intune SMBIZ
ENTERPRISEPREMIUM_SWAY,O365 E5 - Sway
MCOCAP,Common Area Phone
DATA_INVESTIGATIONS,Microsoft Data Investigations
ENTERPRISEPREMIUM_LOCKBOX_ENTERPRISE,O365 E5 - Customer Lockbox
SHAREPOINTSTORAGE,Office 365 Extra File Storage
SPE_F1_AAD_PREMIUM,M365 F1 - Azure AD Premium P1
SHAREPOINTSTANDARD,Sharepoint Online (Plan 1)
SPE_F1_MFA_PREMIUM,M365 F1 - Azure Multi-factor Authentication
POWER_AUTOMATE_DYN365_VIRAL_TRIAL,Power Automate for Dynamics 365 vTrial
ENTERPRISEPREMIUM_INFORMATION_BARRIERS,O365 E5 - Information Barriers
PROJECTESSENTIALS_STUDENT,Project Online Essentials for Students
TOPIC_EXPERIENCES,Viva Topics
O365_BUSINESS_PREMIUM_BPOS_S_TODO_1,M365 Business Standard - To-do (P1)
FORMS_PLAN_E3,Microsoft Forms (Plan E3)
THREAT_INTELLIGENCE,Microsoft Defender for Office 365 (Plan 2)
INTUNE_A_D,Microsoft Intune Device
ENTERPRISEWITHSCAL_GOV,Office 365 Enterprise E4 for Government
ContentExplorer_Standard,Information Protection and Governance Analytics ??? Standard
MCOVOICECONF,Skype for Business Online (Plan 3)
POWERFLOW_P2_POWERAPPS_P2,Microsoft PowerApps P2 Trial - PowerApps
SPZA_IW_SPZA,App Connect Iw
MIP_S_CLP1,Information Protection for Office 365 - Standard
ONEDRIVE_BASIC,OneDrive Basic
SPE_F1_ADALLOM_S_DISCOVERY,M365 F1 - Cloud App Security Discovery
WORKPLACE_ANALYTICS_INSIGHTS_USER,Microsoft Workplace Analytics Insights User
SPE_F1_POWERAPPS_O365_S1,M365 F1 - Powerapps for Office 365 K1
D365_SCM,Dynamics 365 for Supply Chain Management
SMB_APPS,Microsoft Business Apps
EMSPREMIUM,Enterprise Mobility + Security E5
MCOEV_GOV,Microsoft 365 Phone System for Government
CRMSTANDARD_NBPROFESSIONALFORCRM,MS Dynamics CRM Online - MS Social Engagement Professional
ENTERPRISEWITHSCAL_DESKLESS,O365 E4 - Microsoft StaffHub
WINDOWS_STORE,Windows Store Service
SMB_BUSINESS_ESSENTIALS_YAMMER_MIDSIZE,M365 Business Basic - Yammer Enterprise
IDENTITY_THREAT_PROTECTION_FOR_EMS_E5,Microsoft 365 E5 Security for EMS E5
DYN365_FINANCIALS_BUSINESS,Dynamics 365 for Business Central Essentials
DYN365_ENTERPRISE_TEAM_MEMBERS_POWERAPPS_DYN_TEAM,D365 for Team Members Ent Edition - PowerApps for Office 365
Power_Automate_For_Project_P1,Power Automate For Project P1
BI_AZURE_P1,Microsoft Power BI Reporting And Analytics Plan 1
TEAMS_COMMERCIAL_TRIAL_FLOW_O365_P1,Microsoft Teams Commercial Cloud - Flow for Office 365
SHAREPOINTSTANDARD_FACULTY,SharePoint (Plan 1 for Faculty)
M365_F1_YAMMER_ENTERPRISE,M365 F1 - Yammer Enterprise
WACONEDRIVEENTERPRISE_SHAREPOINTWAC,Onedrive for Business (P2) - Office for web
POWER_BI_INDIVIDUAL_USE,Power BI Individual User
EMS_AAD_PREMIUM,Ent Mobility + Security E3 - Azure AD Premium P1
ENTERPRISEPACK_USGOV_DOD ,Office 365 E3 US GOV DoD
DYN365_CUSTOMER_INSIGHTS_VIRAL,Dynamics 365 Customer Insights vTrial
LOCKBOX,Customer Lockbox
ENTERPRISEPREMIUM_NOPSTNCONF_RMS_S_ENTERPRISE,O365 E5 Without Audio Conferencing - Azure Rights Management
ENTERPRISEPREMIUM_NOPSTNCONF_LOCKBOX_ENTERPRISE,O365 E5 Without Audio Conferencing - Customer Lockbox
EQUIVIO_ANALYTICS,Office 365 Advanced eDiscovery
FORMS_PRO,Dynamics 365 Customer Voice Trial
KAIZALA_STUDENT,Microsoft Kaizala Pro for students
Forms_Pro_Marketing,Microsoft Dynamics 365 Customer Voice for Marketing
DYN365_ENTERPRISE_PLAN1_SHAREPOINTWAC,D365 Customer Engagement Plan Ent Edition - Office for web
SHAREPOINT_PROJECT_GOV,Project Online Service for Government
INFORMATION_PROTECTION_COMPLIANCE,Microsoft 365 E5 Compliance
DYN365_RETAIL_DEVICE,Dynamics 365 for Retail Device
DYN365_ENTERPRISE_SALES_FLOW_DYN_APPS,D365 for Sales Enterprise Edition - Flow for Dynamics 365
TEAMS_COMMERCIAL_TRIAL_MCO_TEAMS_IW,Microsoft Teams Commercial Cloud - Microsoft Teams
DESKLESSPACK_POWERAPPS_O365_S1,O365 F1 - Powerapps for Office 365 K1
POWERFLOW_P2_FLOW_P2,Microsoft PowerApps P2 Trial
PROJECT_O365_F3,Project for Office (Plan F)
MCOPSTN1,Microsoft 365 Domestic Calling Plan
MCOLITE,Skype for Business Online (Plan P1)
DYN365_ENTERPRISE_TEAM_MEMBERS_SHAREPOINTWAC,D365 for Team Members Ent Edition - Office for web
POWERAPPS_PER_APP_IW,Power Apps per app baseline access
CPC_2,"Windows 365 Enterprise 2 vCPU, 8 GB, 128 GB"
DYN365_ENTERPRISE_SALES_NBENTERPRISE,D365 for Sales Enterprise Edition - MS Social Engagement - Service Discontinuation
EOP_ENTERPRISE_STUDENT,Exchange Protection for Student
CCIBOTS_PRIVPREV_VIRAL,Dynamics 365 AI for Customer Service Virtual Agents Viral
ENTERPRISEPREMIUM_MCOMEETADV,O365 E5 - Audio Conferencing
DATAVERSE_FOR_POWERAUTOMATE_DESKTOP,Dataverse for PAD
MCOSTANDARD_GOV,SSkype for Business Online (Plan 2) for Government
DYN365_CDS_O365_P1,Common Data Service - O365 P1
FLOW_DEV_VIRAL,Power Automate for Developer
ENTERPRISEPREMIUM_NOPSTNCONF_EXCHANGE_ANALYTICS,O365 E5 Without Audio Conferencing - Delve Analytics
OFFICEMOBILE_SUBSCRIPTION_GOV,Office Mobile Apps for Office 365 for GCC
MICROSOFTBOOKINGS,Microsoft Bookings
ENTERPRISEPREMIUM_NOPSTNCONF_THREAT_INTELLIGENCE,O365 E5 Without Audio Conferencing - Office 365 Threat Intelligence
PROJECTPREMIUM_SHAREPOINTENTERPRISE,Project Online Premium - SharePoint (P2)
ENTERPRISEPREMIUM_MCOSTANDARD,O365 E5 - Skype for Business Online (P2)
MIDSIZEPACK_SHAREPOINTENTERPRISE_MIDMARKET,O365 Midsize Business - SharePoint Online (P1)
KAIZALA_O365_P2,Microsoft Kaizala Pro Plan 2
SHAREPOINTSTANDARD_YAMMER,SharePoint (Plan 1 with Yammer)
FORMS_PLAN_K,Microsoft Forms (Plan F1)
DYN365_CDS_FORMS_PRO,Common Data Service
POWERAPPS_PER_APP_IWTRIAL,Power Apps per app baseline access
WHITEBOARD_FIRSTLINE1,Whiteboard (Firstline)
EXCHANGEDESKLESS_EXCHANGE_S_DESKLESS,Exchange Online Kiosk
RMSBASIC,Rights Management Service Basic Content Protection
LITEPACK_P5_SHAREPOINTLITE,Office 365 Small Business Premium - Sharepointlite
FLOW_FOR_PROJECT,Power Automate for Project Online
MICROSOFT_REMOTE_ASSIST,Dynamics 365 Remote Assist
MDE_SMB,Microsoft Defender for Business
CDSAICAPACITY_PERAPP,AI Builder capacity Per App add-on
WACONEDRIVESTANDARD_FORMS_PLAN_E1,Onedrive for Business (P1) - Microsft Forms (Plan E1)
PROJECTPROFESSIONAL,Project Online Professional
CDS_O365_P2,Common Data Service for Teams
WINDEFATP,Microsoft Defender for Endpoint
STANDARDPACK_WHITEBOARD_PLAN1,O365 E1 - Whiteboard (P1)
EMSPREMIUM_RMS_S_ENTERPRISE,Ent Mobility + Security E5 - Azure Rights Management
PROJECTONLINE_PLAN_1_STUDENT,Project Online for Students Plan 1
MCOEV_VIRTUALUSER_GOV,Microsoft 365 Phone Standard Resource Account for Government
POWER_BI_ADDON,Power BI for Office 365 Add-on
FORMS_GOV_E3,FORMS FOR GOVERNMENT (PLAN E3)
O365_BUSINESS_ESSENTIALS,Microsoft 365 Business Basic
POWERAPPS_O365_P1_GOV,Power Apps for Office 365 for Government
ENTERPRISEPREMIUM_NOPSTNCONF_FLOW_O365_P3,O365 E5 Without Audio Conferencing - Flow for Office 365
Flow_PowerApps_PerUser_GCC,Power Automate for Power Apps per User Plan for GCC
POWER_BI_PRO_BI_AZURE_P2,POWER BI PRO - Power BI Pro
WIN10_VDA_E5,Windows 10 Enterprise E5
EXCHANGEARCHIVE_GOV,Exchange Archiving for Government
MCOEV_DOD,Microsoft Teams Phone Standard for DoD
STANDARDWOFFPACKPACK_FACULTY,Office 365 Plan A2 for Faculty
EXCHANGEENTERPRISE_BPOS_S_TODO_1,Exchange Online (P2) - To-do (P1)
MICROSOFT_REMOTE_ASSIST_HOLOLENS,Dynamics 365 Remote Assist HoloLens
PROJECTONLINE_PLAN1_FACULTY,Project Online Professional P1 for Faculty
MCOSTANDARD_MCOSTANDARD,Skype for Business Online (Plan 2)
AAD_PREMIUM_MFA_PREMIUM,Azure AD Premium P1 - Azure Multi-Factor Authentication
STANDARDWOFFPACK,Office 365 E2
SHAREPOINT_PROJECT,Project Online Service
D365_SALES_PRO_IW_Trial,Dynamics 365 for Sales Professional Trial
FORMS_PRO_FLOW_FORMS_PRO,Forms Pro Trial- Microsoft Flow
PROJECTONLINE_PLAN_1,Project Online Premium Without Project Client
FLOW_P1_GOV,Power Automate Plan 1 for Government (Qualified Offer)
TEAMS_FREE_SERVICE,Teams Free Service
TEAMS_COMMERCIAL_TRIAL_STREAM_O365_E1,Microsoft Teams Commercial Cloud - Microsoft Stream for O365 E1 SKU
MCOEV_VIRTUALUSER,Microsoft 365 Phone Standard Resource Account
PROJECTPROFESSIONAL_SHAREPOINTWAC,Project Online Professional - Office for web
SMB_BUSINESS_PREMIUM_SWAY,M365 Business Standard - Sway
